BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
SANTOS REIS;MASC;NEG;ADUANEIRO;SUP;ARMA_F;jan;SEM1;qua;IDO;NOT;Leste
BOM PASTOR;MASC;NEG;AGENTE DE SAUDE;EMC;ARMA_F;jun;SEM2;seg;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;BRA;AGENTE DE SAUDE;EMC;ARMA_F;set;SEM4;seg;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;BRA;AGRICULTOR(A);EFC;ARMA_F;ago;SEM3;dom;ADU;NI_TUR;Oeste
LAGOA AZUL;MASC;PAR;AGRICULTOR(A);EFC;ESPANC;jul;SEM3;sex;ADU;VES;Norte
QUINTAS;MASC;PAR;AGRICULTOR(A);EFC;ARMA_F;dez;SEM4;seg;ADU;NI_TUR;Oeste
ALECRIM;MASC;NEG;AMBULANTE;EFC;ARMA_B;out;SEM1;sáb;ADU;NI_TUR;Leste
IGAPÓ;MASC;PAR;AMBULANTE;EFC;ARMA_F;abr;SEM3;dom;ADO;NOT;Norte
NORDESTE;MASC;BRA;AMBULANTE;EFC;ARMA_F;jun;SEM2;qui;ADU;MAD;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;AMBULANTE;EFC;ARMA_F;mar;SEM2;dom;ADO;NI_TUR;Norte
PONTA NEG;FEM;PAR;AMBULANTE;EFC;ARMA_F;out;SEM3;sex;ADU;NI_TUR;Sul
POTENGI;MASC;PAR;AMBULANTE;EFC;ARMA_F;mar;SEM3;sáb;ADU;MAD;Norte
BOM PASTOR;MASC;NEG;APOSENTADO(A);NI_ESC;ARMA_F;jul;SEM2;seg;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;BRA;APOSENTADO(A);NI_ESC;ARMA_B;nov;SEM4;sáb;ADU;NI_TUR;Norte
LAGOA AZUL;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;jul;SEM3;qua;ADU;NI_TUR;Norte
LAGOA AZUL;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;mai;SEM3;dom;ADU;MAD;Norte
MÃE LUÍZA;MASC;NEG;APOSENTADO(A);NI_ESC;ARMA_F;mar;SEM4;dom;ADU;MAD;Leste
PLANALTO;FEM;PAR;APOSENTADO(A);NI_ESC;ARMA_F;fev;SEM3;qua;IDO;MAD;Oeste
QUINTAS;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;jan;SEM4;qua;IDO;NOT;Oeste
POTENGI;MASC;PAR;ARTESAO;SUP;ARMA_F;mai;SEM1;qua;ADU;MAD;Norte
CIDADE DA ESPERANÇA;MASC;BRA;ASG;EFC;ARMA_F;ago;SEM4;qui;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;BRA;ASG;EFC;ARMA_F;dez;SEM4;ter;ADU;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;BRA;ASG;EFC;ARMA_F;ago;SEM4;sáb;ADU;NI_TUR;Norte
FELIPE CAMARÃO;MASC;PAR;ASG;EFC;ARMA_B;jan;SEM3;sex;ADU;NI_TUR;Norte
FELIPE CAMARÃO;MASC;BRA;ASG;EFC;ARMA_F;nov;SEM4;dom;ADU;NI_TUR;Norte
FELIPE CAMARÃO;MASC;BRA;ASG;EFC;ARMA_B;dez;SEM2;sáb;ADU;NI_TUR;Norte
IGAPÓ;MASC;PAR;ASG;EFC;ARMA_F;dez;SEM4;dom;ADU;NI_TUR;Norte
IGAPÓ;MASC;PAR;ASG;EFC;ARMA_F;set;SEM4;sex;ADU;NI_TUR;Norte
MÃE LUÍZA;MASC;NEG;ASG;EFC;ARMA_F;ago;SEM1;sex;ADU;MAD;Leste
PAJUÇARA;MASC;PAR;ASG;EFC;ARMA_F;abr;SEM1;seg;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;ASG;EFC;ARMA_F;mai;SEM4;sex;ADU;MAD;Norte
POTENGI;MASC;PAR;ASG;EFC;ESPANC;ago;SEM4;qui;IDO;NI_TUR;Norte
QUINTAS;MASC;PAR;ASG;EFC;ARMA_F;mar;SEM1;sex;ADU;MAT;Oeste
ALECRIM;MASC;NEG;AUTONOMO(A);EFC;ARMA_F;jul;SEM4;ter;ADU;MAD;Leste
ALECRIM;MASC;NEG;AUTONOMO(A);EFC;ARMA_F;jun;SEM4;ter;ADU;NOT;Leste
FELIPE CAMARÃO;MASC;BRA;AUTONOMO(A);EFC;ARMA_F;ago;SEM2;qui;ADU;NI_TUR;Norte
GUARAPES;MASC;PAR;AUTONOMO(A);EFC;ARMA_B;out;SEM2;seg;ADU;NI_TUR;Oeste
LAGOA AZUL;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;jan;SEM1;qui;ADU;NI_TUR;Norte
LAGOA NOVA;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;jul;SEM1;sex;ADU;MAD;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;AUTONOMO(A);EFC;ARMA_F;jan;SEM3;dom;ADU;MAD;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;AUTONOMO(A);EFC;ARMA_F;jul;SEM4;seg;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;AUTONOMO(A);EFC;ARMA_F;nov;SEM3;qua;ADU;NI_TUR;Norte
PAJUÇARA;MASC;BRA;AUTONOMO(A);EFC;ARMA_F;ago;SEM2;sex;ADU;NI_TUR;Norte
PAJUÇARA;MASC;BRA;AUTONOMO(A);EFC;ARMA_F;fev;SEM4;qui;ADU;MAD;Norte
PLANALTO;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;nov;SEM2;dom;ADU;NI_TUR;Oeste
PONTA NEG;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;jul;SEM1;sáb;ADU;NI_TUR;Sul
POTENGI;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;jan;SEM4;qua;ADO;MAT;Norte
QUINTAS;MASC;PAR;AUTONOMO(A);EFC;ESPANC;abr;SEM4;seg;ADU;NI_TUR;Oeste
TIROL;MASC;NEG;AUTONOMO(A);EFC;ARMA_F;abr;SEM4;seg;ADU;MAD;Leste
QUINTAS;MASC;PAR;AUXILIAR DE CARGA/DESCARGA;EFC;ARMA_F;out;SEM2;qui;ADU;NI_TUR;Oeste
IGAPÓ;MASC;PAR;AUXILIAR DE ELETRICISTA;EMC;ARMA_F;ago;SEM1;sáb;ADU;MAD;Norte
QUINTAS;MASC;PAR;AUXILIAR DE ENTREGA;EFC;ARMA_F;out;SEM4;dom;ADU;NI_TUR;Oeste
LAGOA AZUL;MASC;PAR;AUXILIAR DE MARCENEIRO;EFC;ARMA_F;dez;SEM4;sex;ADO;NI_TUR;Norte
PAJUÇARA;MASC;PAR;AUXILIAR DE MECANICO;EFC;ARMA_F;abr;SEM3;qui;ADU;MAD;Norte
REDINHA;MASC;PAR;AUXILIAR DE PESCARIA;EFC;ARMA_F;jan;SEM3;ter;ADU;NOT;Norte
QUINTAS;MASC;PAR;AUXILIAR DE PINTOR;EFC;ESPANC;ago;SEM4;qui;ADU;NI_TUR;Oeste
BOM PASTOR;MASC;NEG;AUXILIAR DE VIDRACEIRO;EFC;ARMA_F;abr;SEM2;sáb;ADU;NOT;Oeste
CIDADE NOVA;MASC;BRA;AUXILIAR ELETRICISTA;EFC;ARMA_F;dez;SEM4;sáb;ADU;NI_TUR;Oeste
REDINHA;MASC;PAR;BRACAL;EFC;ARMA_F;dez;SEM2;ter;ADU;NI_TUR;Norte
GUARAPES;MASC;PAR;CABELEIREIRO(A);EFC;ARMA_F;out;SEM1;sex;ADU;NI_TUR;Oeste
QUINTAS;MASC;PAR;CAPOTEIRO;EFC;ARMA_F;fev;SEM1;sex;ADU;NOT;Oeste
PLANALTO;MASC;PAR;CARREGADOR;EFC;ARMA_F;jun;SEM2;dom;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;BRA;CARROCEIRO;EFC;ARMA_F;jul;SEM2;dom;ADU;MAD;Norte
PLANALTO;MASC;PAR;CARROCEIRO;EFC;ARMA_F;nov;SEM4;qui;ADU;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;BRA;COMERCIANTE;EMC;ARMA_F;jul;SEM2;qui;ADU;NOT;Norte
GUARAPES;MASC;PAR;COMERCIANTE;EMC;ARMA_F;ago;SEM4;qui;ADU;NI_TUR;Oeste
LAGOA NOVA;MASC;PAR;COMERCIANTE;EMC;ARMA_F;abr;SEM4;sáb;ADU;NI_TUR;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;COMERCIANTE;EMC;ARMA_F;set;SEM1;sáb;ADU;NI_TUR;Norte
PLANALTO;MASC;PAR;COMERCIANTE;EMC;ARMA_F;jul;SEM1;sex;ADU;NI_TUR;Oeste
PRAIA DO MEIO;MASC;PAR;COMERCIANTE;EMC;ARMA_F;out;SEM4;ter;ADU;NI_TUR;Leste
QUINTAS;FEM;PAR;COMERCIANTE;EMC;ARMA_F;ago;SEM2;sáb;ADU;NI_TUR;Oeste
TIROL;MASC;PAR;COMERCIANTE;EMC;ARMA_F;mai;SEM3;sex;ADU;MAD;Leste
LAGOA SECA;MASC;PAR;CORRETOR DE IMOVEIS;EMC;ARMA_F;mai;SEM3;ter;ADU;VES;Leste
ALECRIM;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM3;qui;ADU;NI_TUR;Leste
ALECRIM;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;dom;ADU;NI_TUR;Leste
BOM PASTOR;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM4;sáb;ADU;NI_TUR;Oeste
BOM PASTOR;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM1;seg;ADU;MAT;Oeste
BOM PASTOR;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM4;sáb;ADU;MAD;Oeste
BOM PASTOR;FEM;NEG;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;sáb;ADU;NI_TUR;Oeste
CIDADE ALTA;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM4;qui;ADU;MAD;Leste
CIDADE DA ESPERANÇA;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM4;ter;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM2;ter;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;BRA;DESEMPREGADO;NI_ESC;ESPANC;ago;SEM3;seg;ADU;NI_TUR;Oeste
DIX-SEPT ROSADO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM2;sáb;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;ter;ADO;NI_TUR;Norte
FELIPE CAMARÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM3;ter;ADU;MAD;Norte
FELIPE CAMARÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM4;qui;ADU;NI_TUR;Norte
FELIPE CAMARÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM3;sex;ADU;NI_TUR;Norte
GUARAPES;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;sáb;ADU;NI_TUR;Oeste
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;qua;ADO;NI_TUR;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;seg;ADU;VES;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ESPANC;abr;SEM3;sex;ADO;NOT;Sul
MÃE LUÍZA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;sáb;ADU;NI_TUR;Leste
MÃE LUÍZA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM1;sex;ADU;NI_TUR;Leste
MÃE LUÍZA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM2;ter;ADU;NI_TUR;Leste
NORDESTE;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM1;sáb;ADU;NI_TUR;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM4;sex;ADO;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM2;seg;ADO;NI_TUR;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;sex;ADU;MAD;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM2;dom;ADU;NI_TUR;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;dom;ADU;MAD;Norte
PAJUÇARA;FEM;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM2;qua;ADU;VES;Norte
PAJUÇARA;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM4;seg;ADU;NI_TUR;Norte
PAJUÇARA;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM4;ter;ADU;MAT;Norte
PETRÓPOLIS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM2;seg;ADU;NI_TUR;Leste
PETRÓPOLIS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM4;ter;ADU;NI_TUR;Leste
PITIMBU;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;sáb;ADU;NI_TUR;Sul
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM1;sáb;ADU;NI_TUR;Oeste
PONTA NEG;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;qua;ADU;NI_TUR;Sul
REDINHA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM1;sex;ADU;MAD;Norte
RIBEIRA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM2;sex;ADO;NI_TUR;Leste
RIBEIRA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;qui;ADU;VES;Leste
ROCAS;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM3;qui;ADU;VES;Leste
ROCAS;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM1;sáb;ADU;NI_TUR;Leste
SALINAS;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;qua;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;abr;SEM1;sex;ADU;MAD;Norte
QUINTAS;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;dez;SEM4;qui;ADU;NI_TUR;Oeste
POTENGI;MASC;PAR;DETENTO;NI_ESC;AMP;set;SEM4;dom;ADU;NI_TUR;Norte
POTENGI;MASC;PAR;DETENTO;NI_ESC;ARMA_B;ago;SEM4;dom;ADU;NI_TUR;Norte
BOM PASTOR;FEM;NEG;DIARISTA;EFC;ARMA_F;jan;SEM3;ter;ADU;MAD;Oeste
