BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA;TURNO;ZONA
POTENGI;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM5;qui;CRI;MAD;Norte
BOM PASTOR;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;set;SEM5;seg;CRI;MAD;Oeste
ROCAS;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;ago;SEM4;seg;ADO;VES;Leste
CIDADE NOVA;FEM;PAR;ESTUDANTE;NI_ESC;ARMA_F;mar;SEM4;sáb;ADO;MAT;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE;NI_ESC;ARMA_F;abr;SEM2;ter;ADO;MAD;Norte
PLANALTO;MASC;PAR;PREJUDICADO;NI_ESC;ARMA_F;jan;SEM2;qui;ADO;NOT;Oeste
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM3;dom;ADO;VES;Oeste
ROCAS;FEM;PAR;ESUDANTE;NI_ESC;ARMA_F;abr;SEM2;seg;ADO;NOT;Leste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;dom;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;VENDEDOR;NI_ESC;ARMA_F;fev;SEM2;sex;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM3;sáb;ADO;MAD;Oeste
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM3;qua;ADO;MAT;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM2;qui;ADO;NOT;Sul
NORDESTE;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM5;qui;ADO;VES;Oeste
NOSSA SENHORA DE NAZARÉ;FEM;BRA;ESTUDANTE;NI_ESC;ARMA_B;fev;SEM3;sáb;ADO;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jul;SEM5;dom;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;fev;SEM5;dom;ADO;NOT;Norte
PLANALTO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jun;SEM4;dom;ADO;MAT;Oeste
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM3;seg;ADO;NOT;Oeste
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;qui;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;abr;SEM3;sex;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM2;ter;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM2;qui;ADO;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM3;sáb;ADO;VES;Oeste
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM3;qua;ADO;MAT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM3;seg;ADO;MAT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM3;ter;ADO;NOT;Norte
LAGOA AZUL;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;ago;SEM3;sex;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;FLANELINHA;NI_ESC;ARMA_F;set;SEM5;seg;ADO;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_B;abr;SEM5;dom;ADO;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;set;SEM5;seg;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;qui;ADO;NOT;Norte
PARQUE DAS DUNAS;FEM;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM1;sáb;ADO;NOT;Norte
PLANALTO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;mai;SEM4;sáb;ADO;VES;Oeste
PONTA NEGRA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM3;sáb;ADO;NOT;Sul
PONTA NEGRA;FEM;PAR;ESTUDANTE;NI_ESC;ESPANC;set;SEM4;dom;ADO;MAD;Sul
POTENGI;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jul;SEM2;sex;ADO;NOT;Norte
REDINHA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM2;dom;ADO;VES;Norte
ALECRIM;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;out;SEM3;qua;ADO;NOT;Leste
CIDADE ALTA;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM5;dom;ADO;VES;Leste
DIX-SEPT ROSADO;FEM;PAR;ESTUDANTE;NI_ESC;ARMA_F;abr;SEM5;qua;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;dez;SEM2;dom;ADO;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM4;qua;ADO;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;ago;SEM4;sex;ADO;MAT;Oeste
IGAPÓ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM5;sex;ADO;NOT;Norte
LAGOA AZUL;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;mar;SEM3;seg;ADO;MAT;Norte
LAGOA AZUL;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jan;SEM5;ter;ADO;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM3;seg;ADO;NOT;Norte
NORDESTE;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM5;qui;ADO;VES;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;dez;SEM2;ter;ADO;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;qui;ADO;MAD;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;jan;SEM5;ter;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;mar;SEM4;dom;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;qua;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM5;qui;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM2;sáb;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM2;sex;ADO;NOT;Norte
PITIMBU;MASC;PAR;DESEMPREGADO;NI_ESC;AMP;jun;SEM2;sáb;ADO;VES;Sul
PITIMBU;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM4;dom;ADO;VES;Sul
PLANALTO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM2;dom;ADO;MAT;Oeste
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM5;seg;ADO;NOT;Norte
PRAIA DO MEIO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM2;ter;ADO;VES;Leste
QUINTAS;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;set;SEM5;sáb;ADO;NOT;Oeste
ROCAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM5;qua;ADO;NOT;Leste
ROCAS;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;set;SEM5;qua;ADO;VES;Leste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM4;seg;ADU;NOT;Oeste
BOM PASTOR;MASC;PAR;FEIRANTE;NI_ESC;ARMA_F;fev;SEM1;sex;ADU;MAT;Oeste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM2;sáb;ADU;VES;Oeste
DIX-SEPT ROSADO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM1;sáb;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM1;qui;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM4;ter;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM1;qui;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;sáb;ADU;MAT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM2;seg;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;sáb;ADU;VES;Norte
LAGOA SECA;MASC;PAR;DESEMPREGADO;EFC;ARMA_F;dez;SEM4;sex;ADU;MAD;Leste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM3;seg;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jan;SEM1;sex;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;fev;SEM4;sáb;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM4;ter;ADU;NOT;Norte
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM5;seg;ADU;NOT;Oeste
POTENGI;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jul;SEM3;sáb;ADU;VES;Norte
PRAIA DO MEIO;FEM;BRA;ESTUDANTE;NI_ESC;ARMA_F;jan;SEM5;dom;ADU;NOT;Leste
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM1;qui;ADU;NOT;Oeste
BOM PASTOR;FEM;PAR;ESTUDANTE;NI_ESC;ARMA_B;nov;SEM4;sáb;ADU;MAT;Oeste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM2;qui;ADU;NOT;Oeste
CAPIM MACIO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM3;qua;ADU;VES;Sul
CIDADE DA ESPERANÇA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;ter;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM2;sex;ADU;MAT;Oeste
IGAPÓ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM2;seg;ADU;MAT;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM3;sáb;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;out;SEM3;seg;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;VENDEDOR;EFI;ARMA_F;dez;SEM3;seg;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM6;seg;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM1;sáb;ADU;NOT;Norte
NORDESTE;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM4;sáb;ADU;MAT;Oeste
NORDESTE;MASC;PAR;ASG;NI_ESC;ARMA_F;jan;SEM2;sex;ADU;MAT;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;MANICURE;EMC;ARMA_F;set;SEM2;dom;ADU;MAD;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM3;seg;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM4;qui;ADU;VES;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM1;qua;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM5;qua;ADU;MAT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM5;qua;ADU;VES;Norte
PONTA NEGRA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM3;sex;ADU;NOT;Sul
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;seg;ADU;VES;Norte
QUINTAS;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_F;jan;SEM3;ter;ADU;MAT;Oeste
QUINTAS;MASC;PAR;AJUDANTE DE CARGA E DESCARGA;NI_ESC;ARMA_F;jan;SEM3;qui;ADU;VES;Oeste
REDINHA;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;ago;SEM5;dom;ADU;MAD;Norte
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM4;seg;ADU;NOT;Oeste
BOM PASTOR;MASC;BRA;PENSIONISTA;NI_ESC;ARMA_F;abr;SEM5;dom;ADU;NOT;Oeste
DIX-SEPT ROSADO;MASC;PAR;DESEMPREGADO;EMI;ARMA_F;dez;SEM3;seg;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;qui;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;RECICLADOR;NI_ESC;ARMA_F;out;SEM4;sáb;ADU;MAD;Oeste
IGAPÓ;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;jan;SEM2;qua;ADU;NOT;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;seg;ADU;MAT;Norte
IGAPÓ;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_F;jun;SEM5;dom;ADU;VES;Norte
IGAPÓ;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;ago;SEM4;qui;ADU;MAD;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;sáb;ADU;NOT;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM5;seg;ADU;MAT;Sul
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;qui;ADU;NOT;Sul
NI_BAIRRO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;seg;ADU;MAT;NI_ZONA
NI_BAIRRO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM3;qui;ADU;NOT;NI_ZONA
NOSSA SENHORA DE NAZARÉ;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jun;SEM2;seg;ADU;NOT;Oeste
NOSSA SENHORA DE NAZARÉ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;nov;SEM2;qua;ADU;VES;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;EMC;ARMA_F;set;SEM3;qui;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM2;dom;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM5;ter;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM1;sáb;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM5;dom;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM1;sex;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;nov;SEM4;sex;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM4;sáb;ADU;MAD;Norte
PARQUE DAS DUNAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM1;sáb;ADU;NOT;Oeste
PLANALTO;MASC;PAR;AUXILIAR DE PEDREIRO;NI_ESC;ARMA_F;fev;SEM2;ter;ADU;NOT;Oeste
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM3;qui;ADU;VES;Oeste
PONTA NEGRA;MASC;PAR;VENDEDOR;NI_ESC;PEDRA;abr;SEM4;dom;ADU;MAT;Sul
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM3;ter;ADU;VES;Oeste
QUINTAS;MASC;PAR;PINTOR;NI_ESC;ARMA_F;jan;SEM2;sex;ADU;MAT;Oeste
QUINTAS;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;mar;SEM5;seg;ADU;MAT;Oeste
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;sex;ADU;NOT;Oeste
ROCAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;qua;ADU;MAT;Leste
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;qui;ADU;NOT;Leste
DIX-SEPT ROSADO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;out;SEM1;seg;ADU;NOT;Oeste
