tipo_morte;hora;bairro_ocorrencia;logradouro;genero;etnia;idade;profissao;escolaridade;instrumento_utilizado;faixa;turno
HOMICIDIO;01:45;ALECRIM;R MACHADO DE ASSIS EM FRENTE A SUA RESIDENCIA;MASCULINO;PARDA;16;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;13:38;ALECRIM;NA COMUNIDADE GUARITA;MASCULINO;PARDA;35;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;23:09;ALECRIM;R CEL JOSE DOMINGUES Nº 84 A;MASCULINO;PARDA;23;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:11;ALECRIM;R DOS CAICOS Nº 1347;MASCULINO;NEGRA;46;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;19:18;ALECRIM;R MACHADO DE ASSIS;MASCULINO;NEGRA;43;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;01:27;AREIA PRETA;R TUIUTI , EM FRENTE AO Nº 256;MASCULINO;PARDA;29;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;02:30;AREIA PRETA;PRAIA DE AREIA PRETA ;FEMININO;PARDA;13;ESTUDANTE C;ENSINO MEDIO COMPLETO;ASFIXIA MECANICA PROVOCADA;ADOLESCENTE;MADRUGADA
HOMICIDIO;16:48;AREIA PRETA;R VEREADOR JOAO SOARES DE ARAUJO;MASCULINO;PARDA;20;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;03:27;AREIA PRETA;R VEREADOR JOAO SOARES DE ARAUJO Nº 02;MASCULINO;NEGRA;40;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;17:04;BOM PASTOR;R NOVA JERUSALEM;MASCULINO;NEGRA;37;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;VESPERTINO
HOMICIDIO;13:59;BOM PASTOR;AV BOM PASTOR;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
HOMICIDIO;13:38;BOM PASTOR;AV BOM PASTOR;FEMININO;BRANCA;34;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;19:54;BOM PASTOR;POR TRAS DO CEMITERIO ;MASCULINO;PARDA;30;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;13:05;BOM PASTOR;R BERNARDO GAMA;MASCULINO;BRANCA;24;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;12:29;BOM PASTOR;R BIANOR MEDEIROS ;MASCULINO;BRANCA;23;AGRICULTOR(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;14:51;BOM PASTOR;R HENRIQUE DIAS;MASCULINO;PARDA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
HOMICIDIO;20:33;BOM PASTOR;R MANOEL MAXIMO ;MASCULINO;PARDA;27;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;00:51;BOM PASTOR;R PERCIVAL CALDAS;MASCULINO;BRANCA;37;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;14:51;BOM PASTOR;TV LIMA E SILVA Nº 2;MASCULINO;PARDA;58;AUXILIAR DE ALMOXARIFADO DE OBRAS;ENSINO MEDIO COMPLETO;ARMA BRANCA;ADULTO;VESPERTINO
HOMICIDIO;NI;BOM PASTOR;R NAPOLEAO LAUREANO - EM FRENTE AO COMERCIO DA VITIMA;MASCULINO;NEGRA;36;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NI
LATROCINIO;14:25;BOM PASTOR;R RIO NORTE;MASCULINO;BRANCA;47;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;02:30;BOM PASTOR;AV BOM PASTOR;MASCULINO;BRANCA;44;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;13:38;BOM PASTOR;AV CAP MOR GOUVEIA;MASCULINO;PARDA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
