tipo_morte;hora;bairro_ocorrencia;logradouro;genero;etnia;idade;profissao;escolaridade;intrumento_utilizado; faixa;turno
HOMICIDIO;19:06;ALECRIM;MERCADO PUBLICO DA AV 4;MASCULINO;NEGRA;53;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;21:37;ALECRIM;R ANTONIO GONCALVES Nº 1662 A;MASCULINO;NEGRA;43;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:27;ALECRIM;VIA PUBLICA - GUARITA;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;VESPERTINO
HOMICIDIO;NI;ALECRIM;R JOAQUIM FONSECA;MASCULINO;NEGRA;36;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;21:27;ALECRIM;"ESTACAO FERROVIARIA ALECRIM ""1"" - R PEREIRA PINTO";MASCULINO;NEGRA;25;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;01:41;ALECRIM;R ARY PARREIRA VP;MASCULINO;PARDA;38;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;11:43;ALECRIM;R BARAUNA, 1058;MASCULINO;NEGRA;21;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;23:35;ALECRIM;R CAPITAO SILVEIRA BARRETO;MASCULINO;NEGRA;20;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;15:38;ALECRIM;R EPITACIO PESSOA;MASCULINO;BRANCA;24;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;04:57;ALECRIM;R INTERVENTOR THEODOSIO PAIVA;MASCULINO;PARDA;25;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;NI;ALECRIM;R RAFAEL FERNANDES;MASCULINO;NEGRA;18;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;NI;ALECRIM;R SAO FRANCISCO (VIA PUBLICA;MASCULINO;PARDA;26;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;NI
HOMICIDIO;19:38;AREIA PRETA;R VEREADOR JOAO SAORES DE ARAUJO;MASCULINO;BRANCA;19;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;22:55;AREIA PRETA;AV GOVERNADOR SILVIO PEDROSA;MASCULINO;NEGRA;31;DECORADOR;SUPERIOR;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;18:00;BARRO VERMELHO;R HERACLITO VILAR, 825;MASCULINO;PARDA;19;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;23:38;BOM PASTOR;ENCONTRADO NA R BIANOR MEDEIROS - EM FRENTE AO Nº 131;MASCULINO;PARDA;46;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
